claim,date,source,url,title,reviewer,reviewer_name,language,raw_verdict,raw_verdict_en
Pfizer's Omicron jab only assessed with data from eight mice,2022-02-09T00:00:00Z,Multiple sources,https://factcheck.afp.com/doc.afp.com.32K34TY,Posts misrepresent approval process for Pfizer's Omicron jab: experts,factcheck.afp.com,AFP Fact Check,en,Missing context,Missing context
"Covid variant, Omicron, means non-existing",2022-08-29T00:00:00Z,Social Media user,https://www.thip.media/health-news-fact-check/fact-check-does-the-covid-variant-omicron-mean-non-existing/34466/,"Fact Check: Does the Covid variant, Omicron, mean non-existing? –...",thip.media,THIP Media,en,False,False
Omicron BA.5 the most infectious virus ever known,2022-07-18T00:00:00Z,Social Media user,https://www.thip.media/health-news-fact-check/fact-check-is-omicron-ba-5-the-most-infectious-virus-ever-known/32221/,Fact Check: Is Omicron BA.5 the most infectious virus ever known?...,thip.media,THIP Media,en,False,False
"COVID-19 infection caused by the Omicron variant is ""like having the flu.""",2022-07-05T00:00:00Z,Ferdinand “Bongbong” Marcos Jr.,https://verafiles.org/articles/vera-files-fact-check-marcos-jr-s-statement-that-getting-covid-19-is-like-having-flu-needs-context,FACT CHECK: Marcos Jr.’s statement that getting COVID-19 is ‘like having flu’ needs context,verafiles.org,VERA Files,en,Needs context,Needs context
"""New Data from Walgreens Reveals Unvaccinated Have the Lowest Positivity Rate for COVID. ... Obviously, the vaccines are not working as advertised.""",2022-06-09T00:00:00Z,Gateway Pundit,https://www.factcheck.org/2022/06/scicheck-vaccinated-people-not-more-susceptible-to-covid-19-than-unvaccinated/,Vaccinated People Not More Susceptible to COVID-19 Than ...,factcheck.org,FactCheck.org,en,Misleading,Misleading
"""But what we do know as well is that the Omicron variant is 75 per cent less severe than the Delta variant and previous variants.""",2022-01-31T00:00:00Z,Josh Frydenberg,https://www.abc.net.au/news/2022-03-10/fact-check-omicron-75-per-cent-less-severe/100892732,Is Omicron really 75 per cent less severe than Delta and other COVID variants?,abc.net.au,ABC,en,Oversimplified,Oversimplified
"If you’ve had two doses of the COVID-19 vaccine and you haven’t had a booster jab, then you have a 50/50 chance of ending up in hospital if you catch Omicron.",2022-01-10T00:00:00Z,Michael McBride,https://factcheckni.org/topics/health/is-there-a-50-chance-of-hospitalisation-with-omicron-if-you-dont-get-a-covid-19-booster-jab/,Is there a 50% chance of hospitalisation with Omicron if you don't get ...,factcheckni.org,Fact Check NI,en,"CLAIM: If you’ve had two doses of the COVID-19 vaccine and you haven’t had a booster jab, then you have a 50/50 chance of ending up in hospital if you catch Omicron. CONCLUSION: INACCURATE (“Accurate” in a previous version of this article - see note below) based on a misinterpretation of data. Data published by the UK Health Security Agency at the time of the claim suggested that with two doses, vaccine effectiveness against hospitalisation due to Omicron was 52%. However, vaccine effectiveness against hospitalisation is not a measure of hospitalisation rates, it is a measure of how much vaccination reduces the chance that someone will need hospital, compared with having taken no vaccine at all. The data at the time said that, if you’ve had two vaccine doses but no booster, you would be 52% less likely to require hospital due to Omicron compared with if you caught that variant and were unvaccinated.","CLAIM: If you’ve had two doses of the COVID-19 vaccine and you haven’t had a booster jab, then you have a 50/50 chance of ending up in hospital if you catch Omicron. CONCLUSION: INACCURATE (“Accurate” in a previous version of this article - see note below) based on a misinterpretation of data. Data published by the UK Health Security Agency at the time of the claim suggested that with two doses, vaccine effectiveness against hospitalisation due to Omicron was 52%. However, vaccine effectiveness against hospitalisation is not a measure of hospitalisation rates, it is a measure of how much vaccination reduces the chance that someone will need hospital, compared with having taken no vaccine at all. The data at the time said that, if you’ve had two vaccine doses but no booster, you would be 52% less likely to require hospital due to Omicron compared with if you caught that variant and were unvaccinated."
Philippine health department issues 'Omicron Alert' graphic,2022-01-17T00:00:00Z,Multiple sources,https://factcheck.afp.com/doc.afp.com.9XF7XC,,factcheck.afp.com,AFP Fact Check,en,Misleading,Misleading
Ivermectin was effective against omicron in phase 3 clinical trials.,2022-01-31T00:00:00Z,Social media posts,https://www.factcheck.org/2022/02/scicheck-social-media-posts-repeat-inaccurate-reporting-on-ivermectin-and-omicron/,Social Media Posts Repeat Inaccurate Reporting on Ivermectin and Omicron,factcheck.org,FactCheck.org,en,False,False
Phase 3 trial shows that Ivermectin is effective against Omicron,2022-02-02T00:00:00Z,Social media users,https://healthfeedback.org/claimreview/claims-that-a-phase-iii-clinical-trial-showed-that-ivermectin-is-effective-against-omicron-are-inaccurate-and-based-on-a-now-corrected-reuters-article/,Claims that a phase 3 clinical trial showed that ivermectin is effective ...,healthfeedback.org,Health Feedback,en,Inaccurate,Inaccurate
