claim,date,source,url,title,reviewer,reviewer_name,language,raw_verdict,raw_verdict_en
Victorian CHO Brett Sutton said Covid-19 vaccines make the flu worse,2022-10-05T00:00:00Z,Multiple people,https://factcheck.afp.com/doc.afp.com.32L8733,Misleading posts distort Australian health official's message about Covid and flu jabs,factcheck.afp.com,AFP Fact Check,en,Misleading,Misleading
"“In COVID hearing, #Pfizer director admits: #vaccine was never tested on preventing transmission. ‘Get vaccinated for others’ was always a lie.”",2022-10-18T00:00:00Z,Rob Roos,https://healthfeedback.org/claimreview/scientific-studies-show-pfizer-biontech-covid-19-vaccine-reduces-transmission-claim-rob-roos-misleading/,Scientific studies show that the Pfizer-BioNTech COVID-19 vaccine reduces transmission; claim by Rob Roos is misleading,healthfeedback.org,Health Feedback,en,Misleading,Misleading
Kaiser admitted that risk of covid-19 infection increases with each shot,2022-10-18T22:37:00Z,i.imgur.com,https://leadstories.com/hoax-alert/2022/10/fact-check-kaiser-did-not-admit-infection-increases-with-each-shot.html,Fact Check: Kaiser Did NOT State Risk Of COVID-19 Infection 'Increases With Each Shot',leadstories.com,Lead Stories,en,Twisted Facts,Twisted Facts
"The mRNA vaccines are disguised as regular vaccines but they don’t hold a portion of a virus because SARS-CoV-2 doesn’t exist, and the vaccines actually destroy your immune system.",2022-10-10T00:00:00Z,Instagram user,https://fullfact.org/health/mrna-vaccines-virus/,,fullfact.org,Full Fact,en,"The mRNA vaccines do work differently to other vaccines. But that doesn’t mean the coronavirus that causes Covid-19 doesn’t exist as many scientists have sequenced its genetic material, we can test people for infection, and the disease has killed people. There’s no evidence these vaccines weaken or destroy immune systems.","The mRNA vaccines do work differently to other vaccines. But that doesn’t mean the coronavirus that causes Covid-19 doesn’t exist as many scientists have sequenced its genetic material, we can test people for infection, and the disease has killed people. There’s no evidence these vaccines weaken or destroy immune systems."
Have more people in Arizona died of fentanyl overdoses than COVID-19 since Biden took office in 2021?,2022-10-13T22:12:38Z,Social media users,https://repustar.com/fact-briefs/have-more-people-in-arizona-died-of-fentanyl-overdoses-than-covid-19-since-biden-took-office-in-2021,Fact Brief: Have more people in Arizona died of fentanyl overdoses than COVID-19 since Biden took office in 2021?,repustar.com,Repustar,en,NO,NO
Covid vaccinated people were forced to seek medical care,2022-10-13T18:30:00Z,Website,https://www.thip.media/health-news-fact-check/fact-check-9/35998/,Fact check: Were covid vaccinated people forced to seek medical...,thip.media,THIP Media,en,Mostly False,Mostly False
The risks of Covid-19 vaccination outweigh the benefits,2022-09-28T00:00:00Z,Assem Malhotra,https://factcheck.afp.com/doc.afp.com.32L483D,UK cardiologist misleads on Covid-19 vaccine safety,factcheck.afp.com,AFP Fact Check,en,False,False
Covid vaccines are a weapon of mass destruction,2022-10-13T18:30:00Z,Website,https://www.thip.media/health-news-fact-check/fact-check-8/35933/,Fact Check: Are covid vaccines a weapon of mass destruction? –...,thip.media,THIP Media,en,False,False
Covid vaccines can cause Stevens Johnson Syndrome,2022-10-13T18:30:00Z,Social media user,https://www.thip.media/health-news-fact-check/fact-check-2/35934/,Fact Check: Can Covid vaccines cause Stevens Johnson Syndrome? –...,thip.media,THIP Media,en,Mostly False,Mostly False
"Florida study found that COVID-19 mRNA vaccines increase the risk of cardiac-related death, especially in men",2022-10-13T00:00:00Z,Joseph Ladopo,https://healthfeedback.org/claimreview/analysis-florida-department-health-surgeon-general-joseph-ladopo-contains-multiple-methodological-problems-covid-19-mrna-vaccines/,Analysis by Florida Department of Health about COVID-19 mRNA vaccines contains multiple methodological problems,healthfeedback.org,Health Feedback,en,Unsupported,Unsupported
