claim,date,source,url,title,reviewer,reviewer_name,language,raw_verdict,raw_verdict_en
monkeypox virus was made in Wuhan’s lab,2022-07-29T00:00:00Z,Social media user,https://www.thip.media/health-news-fact-check/fact-check-was-monkeypox-virus-made-in-wuhans-lab/32896/,Fact Check: Was monkeypox virus made in Wuhan's lab?,thip.media,THIP Media,en,Mostly False,Mostly False
“2022年4月24日0—24时，新增本土死亡51例。”,2022-04-26T00:00:00Z,上海市卫生健康委员会,https://www.voachinese.com/a/factcheck-china-covid-deaths-misleading-2022-04-25/6545268.html,揭谎频道：扑朔迷离——中国官方的新冠死亡人数可靠吗？,voachinese.com,美国之音,zh,误导,misleading
“只要调查巴里克团队及其实验室，就可以澄清对冠状病毒的研究有没有、会不会产生新冠病毒。”,2021-09-28T00:00:00Z,汪文斌,https://www.voachinese.com/a/china-bogus-attack-on-a-top-us-coronavirus-lab-2021-09-27/6248321.html,揭谎频道: 新谎新辟谣——详解中国如何扭曲事实以栽赃美国大学冠状 ...,voachinese.com,美国之音,zh,误导,misleading
"“疫情发生以来，中方始终本着公开、透明、负责任原则 ...""",2021-09-02T00:00:00Z,中华人民共和国驻美利坚合众国大使馆,https://www.voachinese.com/a/from-beijing-wrath-and-conspiracies-after-us-virus-report-2021-09-01/6082718.html,揭谎频道：美国新冠溯源报告发布后，来自北京的震怒和阴谋论,voachinese.com,美国之音,zh,错误,mistake
“先后有五名美军选手出现发烧、咳嗽和腹泻等传染病症状，被紧急送到武汉著名的传染病医院金银潭医院就诊。”,2021-08-23T00:00:00Z,中国中央电视台,https://www.voachinese.com/a/here-we-go-again-us-military-did-not-bring-covid-19-to-wuhan-2021-08-23/6012845.html,揭谎频道：再次辟谣- 美军没有把COVID-19带到武汉,voachinese.com,美国之音,zh,错误,mistake
“武汉病毒所没有开展过冠状病毒增益功能研究，没有所谓的人造病毒。”,2021-07-26T00:00:00Z,曾益新,https://www.voachinese.com/a/polygraph-fact-checker-gain-of-function-coronavirus-20210726/5977892.html,揭谎频道：中国官员在武汉病毒所研究性质问题上的说法具有误导性,voachinese.com,美国之音,zh,误导,misleading
"Thousands of mosquitoes inoculated with viagra escape from high-security laboratory in Wuhan, China.",2021-06-02T00:00:00Z,A viral whatsapp message,https://www.ripplesnigeria.com/fact-check-did-mosquitoes-inoculated-with-viagra-escape-from-chinese-lab/,FACT CHECK... Did mosquitoes inoculated with viagra escape from Chinese lab?,ripplesnigeria.com,Ripples Nigeria,en,Humour,Humour
"Article on mosquitoes inoculated with viagra escaped from high-security laboratory in Wuhan, China",2021-06-18T10:57:26Z,Facebook Posts,https://www.boomlive.in/fact-check/fake-news-website-satire-article-world-news-daily-report-mosquitoes-inoculated-with-viagra-in-china-escape-wuhan-lab-leak-factcheck-13583,Satire Article On Mosquitoes Escaping From Wuhan Lab Shared As Real | BOOM,boomlive.in,BOOM FactCheck,en,False,False
“专家：零证据证明病毒出自中国实验室。”,2021-06-15T00:00:00Z,中国环球电视网（CGTN）,https://www.voachinese.com/a/fact-check-cgtn-zero-evidence-lab-leak-20210614/5928503.html,揭谎频道: 新冠病毒实验室泄露说“零证据”？且慢,voachinese.com,美国之音,zh,误导,misleading
Image shows Anthony Bourdain tweeted about bat soup in Wuhan,2021-06-08T00:00:00Z,Social media,https://www.usatoday.com/story/news/factcheck/2021/06/09/fact-check-anthony-bourdain-did-not-tweet-wuhan-bat-soup/7619798002/,Fact check: Anthony Bourdain did not tweet about Wuhan and bat soup in 2018,usatoday.com,USA Today,en,False,False
The Pirbright has an office in Wuhan China.,2020-10-12T00:00:00Z,Facebook user,https://fullfact.org/online/seco-track-trace-video/,This video makes a number of inaccurate claims about the Covid-19 pandemic - Full Fact,fullfact.org,Full Fact,en,"We can find no Pirbright office in Wuhan, China.","We can find no Pirbright office in Wuhan, China."
"while talking about funding a Wuhan, China, laboratory in 2014, top White House coronavirus adviser Dr. Anthony Fauci said, ""There is always a risk. But I believe the benefits are greater than the risks.""",2020-04-29T00:00:00Z,Viral Post,http://checkyourfact.com/2020/06/29/fact-check-always-risk-anthony-fauci-quote-wuhan-lab-funding/,FACT CHECK: ‘There Is Always A Risk’ – Did Anthony Fauci Say This Quote In 2014 About Funding A Wuhan Lab?,checkyourfact.com,Check Your Fact,en,False,False
"The WHO ignored reports, including Lancet articles, of the virus spreading in Wuhan in early December 2019.",2020-05-18T00:00:00Z,Donald Trump,https://www.politifact.com/article/2020/jun/02/fact-checking-donald-trumps-case-against-world-hea/,"Fact-checking Donald Trump’s case against the World Health Organization, China",politifact.com,PolitiFact,en,Gets facts wrong,Gets facts wrong
"A video showing the corpses of three children being placed in one body bag was taken as Wuhan, China faces a second wave of COVID-19 cases.",2020-05-22T00:00:00Z,Multiple FB netizens,https://verafiles.org/articles/vera-files-fact-check-viral-body-bag-video-3-dead-kids-not-t,VERA FILES FACT CHECK: Viral 'body bag' video of 3 dead kids NOT TAKEN in Wuhan hospital,verafiles.org,VERA Files,en,False,False
"Black birds are swarming in Texas, USA after attacking Wuhan, China.",2020-05-21T09:02:44Z,"Facebook, Twitter, YouTube",https://www.boomlive.in/world/no-black-birds-are-not-swarming-in-texas-after-attacking-wuhan-china-8176,"No, Black Birds Are Not Swarming In Texas After Attacking Wuhan, China | BOOM",boomlive.in,BOOM FactCheck,en,False,False
"Rudy Giuliani correctly tweeted that a research lab in Wuhan, China, got a $3.7 million grant from the U.S. in 2017 despite a ban on such funding.",2020-05-20T17:22:37Z,,https://www.snopes.com/fact-check/giuliani-wuhan-lab-tweet/,Did Giuliani Correctly Tweet That Wuhan Lab Got $3.7M from US in 2017?,snopes.com,Snopes.com,en,Mostly False,Mostly False
“Pelosi was in (Wuhan) China 6 days after the impeachment HOAX failed.”,2020-04-22T00:00:00Z,Facebook,https://www.politifact.com/factchecks/2020/apr/30/facebook-posts/ridiculous-claim-pelosi-flew-wuhan-china-after-imp/,"The ridiculous claim that Pelosi flew to Wuhan, China, after impeachment failed",politifact.com,PolitiFact,en,Pants on Fire,Pants on Fire
"“The WHO failed to investigate credible reports from sources in Wuhan that conflicted directly with the Chinese government’s official accounts. There was credible information to suspect human-to-human transmission in December 2019, which should have spurred the WHO to investigate, and investigate immediately. Through the middle of January, it parroted and publicly endorsed the idea that there was not human-to-human transmission happening despite reports and clear evidence to the contrary. … The WHO pushed China’s misinformation about the virus, saying it was not communicable.”",2020-04-14T00:00:00Z,Donald Trump,https://www.washingtonpost.com/politics/2020/04/17/trumps-false-claim-that-who-said-coronavirus-was-not-communicable/,Analysis | Trump’s false claim that the WHO said the coronavirus was ‘not communicable’,washingtonpost.com,The Washington Post,en,Three Pinocchios,Three Pinocchios
“Late December 2019 ‑- The Wuhan Center for Disease Control and Prevention (CDC) in central China's Hubei Province detected cases of pneumonia of unknown cause.”,2020-04-08T00:00:00Z,The government of the People’s Republic of China,https://www.polygraph.info/a/fact-check-china-covid-timeline/6742366.html,China’s Official Coronavirus Timeline Starts Out Weeks Too Late,polygraph.info,POLYGRAPH.info,en,False,False
"Financier George Soros owns the lab in Wuhan, China, where the COVID-19 coronavirus disease was ""developed.""",2020-04-02T12:04:38Z,,https://www.snopes.com/fact-check/soros-wuhan-lab/,Does George Soros Own a Lab That 'Developed' COVID-19?,snopes.com,Snopes.com,en,False,False
Video shows US soldier wiping saliva on train in Wuhan,2020-03-17T00:00:00Z,Multiple sources,https://factcheck.afp.com/video-has-circulated-media-reports-about-man-subway-train-brussels,This video has circulated in media reports about a man on a subway train in Brussels,factcheck.afp.com,AFP Fact Check,en,False,False
"""George Soros owns the WuXi PHARMA LAB located in Wuhan, China where COVID-19 was developed and conveniently Broke Out.""",2020-03-15T00:00:00Z,Facebook posts,https://www.politifact.com/factchecks/2020/mar/19/facebook-posts/conspiracy-theory-falsely-connects-george-soros-co/,Conspiracy theory falsely connects George Soros to COVID-19,politifact.com,PolitiFact,en,False,False
